time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
40.64936,0.144053,-2.533524,-9,0,0,0
40.66021,0.144053,-2.533524,-9,0,0,0
40.67144,0.144053,-2.533524,-9,0,0,0
40.68259,0.144053,-2.533524,-9,0,0,0
40.69402,0.144053,-2.533524,-9,0,0,0
40.70467,0.144053,-2.533524,-9,0,0,0
40.71864,0.144053,-2.533524,-9,0,0,0
40.7296,0.144053,-2.533524,-9,0,0,0
40.74069,0.144053,-2.533524,-9,0,0,0
40.75171,0.144053,-2.533524,-9,0,0,0
40.76289,0.144053,-2.533524,-9,0,0,0
40.7748,0.144053,-2.533524,-9,0,0,0
40.78572,0.144053,-2.533524,-9,0,0,0
40.79621,0.144053,-2.533524,-9,0,0,0
40.80819,0.144053,-2.533524,-9,0,0,0
40.81915,0.144053,-2.533524,-9,0,0,0
40.82999,0.144053,-2.533524,-9,0,0,0
40.84093,0.144053,-2.533524,-9,0,0,0
40.85289,0.144053,-2.533524,-9,0,0,0
40.86341,0.144053,-2.533524,-9,0,0,0
40.87434,0.144053,-2.533524,-9,0,0,0
40.88581,0.144053,-2.533524,-9,0,0,0
40.89696,0.144053,-2.533524,-9,0,0,0
40.90784,0.144053,-2.533524,-9,0,0,0
40.92049,0.144053,-2.516577,-9,0,0,0
40.93206,0.177947,-2.36405,-9,0,0,0
40.94219,0.22879,-2.160682,-9,0,0,0
40.95419,0.330474,-1.821735,-9,0,0,0
40.96639,0.483,-1.414999,-9,0,0,0
40.97741,0.669421,-1.025209,-9,0,0,0
40.98791,0.838894,-0.669315,-9,0,0,0
40.99901,1.008369,-0.245631,-9,0,0,0
41.00935,1.19479,0.144159,-9,0,0,0
41.02039,1.398158,0.618685,-9,0,0,0
41.03233,1.703209,1.194895,-9,0,0,0
41.04336,2.008262,1.652473,-9,0,0,0
41.05427,2.296367,2.008368,-9,0,0,0
41.06605,2.567526,2.330367,-9,0,0,0
41.07732,2.736999,2.533736,-9,0,0,0
41.08812,2.855631,2.669315,-9,0,0,0
41.09919,2.923419,2.787946,-9,0,0,0
41.10998,2.974261,2.889631,-9,0,0,0
41.12292,3.075946,3.076051,-9,0,0,0
41.13252,3.143736,3.262473,-9,0,0,0
41.14476,3.262366,3.516683,-9,0,0,0
41.15624,3.380998,3.736998,-9,0,0,0
41.16614,3.482682,3.872577,-9,0,0,0
41.17809,3.567419,4.008156,-9,0,0,0
41.18875,3.618262,4.126788,-9,0,0,0
41.20039,3.669104,4.24542,-9,0,0,0
41.21146,3.669104,4.43184,-9,0,0,0
41.22238,3.702999,4.601314,-9,0,0,0
41.23375,3.753839,4.804682,-9,0,0,0
