time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
34.56891,0.144053,-2.550471,-9,0,0,0
34.58056,0.144053,-2.550471,-9,0,0,0
34.59172,0.144053,-2.550471,-9,0,0,0
34.60336,0.144053,-2.550471,-9,0,0,0
34.6132,0.127106,-2.550471,-9,0,0,0
34.62551,0.093211,-2.550471,-9,0,0,0
34.63583,0.093211,-2.550471,-9,0,0,0
34.64698,0.076263,-2.550471,-9,0,0,0
34.6578,0.076263,-2.550471,-9,0,0,0
34.669,0.076263,-2.550471,-9,0,0,0
34.68077,0.025421,-2.550471,-9,0,0,0
34.69154,-0.008474,-2.516577,-9,0,0,0
34.70274,-0.059315,-2.499629,-9,0,0,0
34.71391,-0.110158,-2.482682,-9,0,0,0
34.72457,-0.127105,-2.465735,-9,0,0,0
34.7364,-0.127105,-2.465735,-9,0,0,0
34.74739,-0.127105,-2.465735,-9,0,0,0
34.75827,-0.127105,-2.465735,-9,0,0,0
34.76915,-0.127105,-2.465735,-9,0,0,0
34.7802,-0.127105,-2.465735,-9,0,0,0
34.79137,-0.127105,-2.465735,-9,0,0,0
34.80247,-0.127105,-2.465735,-9,0,0,0
34.81336,-0.127105,-2.465735,-9,0,0,0
34.82424,-0.127105,-2.465735,-9,0,0,0
34.83534,-0.127105,-2.465735,-9,0,0,0
34.84717,-0.127105,-2.465735,-9,0,0,0
34.85817,-0.127105,-2.465735,-9,0,0,0
34.86924,-0.127105,-2.465735,-9,0,0,0
34.88042,-0.127105,-2.465735,-9,0,0,0
34.8913,-0.194895,-2.43184,-9,0,0,0
34.90232,-0.330473,-2.313208,-9,0,0,0
34.91536,-0.550789,-2.092893,-9,0,0,0
34.92516,-0.805,-1.821735,-9,0,0,0
34.93683,-1.211736,-1.364156,-9,0,0,0
34.94711,-1.618473,-0.855736,-9,0,0,0
34.95892,-2.092999,-0.211736,-9,0,0,0
34.96965,-2.431946,0.330579,-9,0,0,0
34.98036,-2.635314,0.754264,-9,0,0,0
34.99232,-2.78784,1.262684,-9,0,0,0
35.00288,-2.889524,1.720263,-9,0,0,0
35.01361,-3.008155,2.228683,-9,0,0,0
35.02539,-3.177629,2.838789,-9,0,0,0
35.03627,-3.364051,3.364157,-9,0,0,0
35.04729,-3.584366,3.85563,-9,0,0,0
35.05916,-3.75384,4.279314,-9,0,0,0
35.07039,-3.906366,4.635208,-9,0,0,0
