time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
65.60611,0.057137,-2.444546,-9,0,0,0
65.61725,0.057137,-2.444546,-9,0,0,0
65.62843,0.057137,-2.444546,-9,0,0,0
65.63943,0.057137,-2.444546,-9,0,0,0
65.6506,0.057137,-2.444546,-9,0,0,0
65.66202,0.057137,-2.444546,-9,0,0,0
65.67278,0.057137,-2.444546,-9,0,0,0
65.68394,0.057137,-2.444546,-9,0,0,0
65.69501,0.057137,-2.444546,-9,0,0,0
65.70635,0.057137,-2.444546,-9,0,0,0
65.71718,0.057137,-2.444546,-9,0,0,0
65.72829,0.057137,-2.444546,-9,0,0,0
65.73947,0.057137,-2.444546,-9,0,0,0
65.75061,0.057137,-2.444546,-9,0,0,0
65.76176,0.057137,-2.444546,-9,0,0,0
65.77286,0.057137,-2.444546,-9,0,0,0
65.78387,0.057137,-2.444546,-9,0,0,0
65.79496,0.057137,-2.444546,-9,0,0,0
65.80609,0.057137,-2.444546,-9,0,0,0
65.81719,0.057137,-2.444546,-9,0,0,0
65.82838,0.057137,-2.444546,-9,0,0,0
65.83948,0.057137,-2.444546,-9,0,0,0
65.85068,0.057137,-2.444546,-9,0,0,0
65.86211,0.057137,-2.444546,-9,0,0,0
65.87274,0.057137,-2.444546,-9,0,0,0
65.88392,0.057137,-2.444546,-9,0,0,0
65.895,0.057137,-2.444546,-9,0,0,0
65.90624,0.057137,-2.444546,-9,0,0,0
65.91764,0.040812,-2.411896,-9,0,0,0
65.92901,-0.024488,-2.281297,-9,0,0,0
65.94038,-0.187736,-2.020099,-9,0,0,0
65.95104,-0.383634,-1.677277,-9,0,0,0
65.96304,-0.693807,-1.203856,-9,0,0,0
65.97453,-0.97133,-0.81206,-9,0,0,0
65.98537,-1.232528,-0.436588,-9,0,0,0
65.9971,-1.493725,-0.012141,-9,0,0,0
66.00771,-1.722274,0.314356,-9,0,0,0
66.01889,-1.950821,0.706153,-9,0,0,0
66.02892,-2.163045,1.081625,-9,0,0,0
66.04139,-2.424242,1.63667,-9,0,0,0
66.05177,-2.620141,2.061116,-9,0,0,0
66.06411,-2.848689,2.567187,-9,0,0,0
66.07499,-2.995613,2.893685,-9,0,0,0
66.0863,-3.109887,3.220182,-9,0,0,0
66.09663,-3.191512,3.416081,-9,0,0,0
66.10741,-3.256811,3.579329,-9,0,0,0
66.11858,-3.338435,3.758903,-9,0,0,0
66.12959,-3.387409,3.905826,-9,0,0,0
66.14034,-3.42006,4.003776,-9,0,0,0
66.15139,-3.436384,4.069075,-9,0,0,0
66.16225,-3.436384,4.134375,-9,0,0,0
66.17487,-3.452709,4.183349,-9,0,0,0
66.18562,-3.452709,4.232324,-9,0,0,0
66.19695,-3.501683,4.313948,-9,0,0,0
66.20819,-3.583308,4.428223,-9,0,0,0
66.21922,-3.664932,4.542497,-9,0,0,0
66.22944,-3.730232,4.656771,-9,0,0,0
66.23997,-3.811857,4.738395,-9,0,0,0
