time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
53.97308,-0.089787,-2.55882,-9,0,0,0
53.98468,-0.089787,-2.55882,-9,0,0,0
53.9953,-0.089787,-2.55882,-9,0,0,0
54.0064,-0.089787,-2.55882,-9,0,0,0
54.01725,-0.089787,-2.55882,-9,0,0,0
54.02927,-0.089787,-2.55882,-9,0,0,0
54.04016,-0.089787,-2.55882,-9,0,0,0
54.05075,-0.089787,-2.55882,-9,0,0,0
54.06195,-0.089787,-2.542495,-9,0,0,0
54.07478,-0.073462,-2.52617,-9,0,0,0
54.08414,-0.073462,-2.509845,-9,0,0,0
54.09516,-0.073462,-2.509845,-9,0,0,0
54.10732,-0.073462,-2.509845,-9,0,0,0
54.11725,-0.073462,-2.509845,-9,0,0,0
54.12836,-0.073462,-2.509845,-9,0,0,0
54.13948,-0.073462,-2.509845,-9,0,0,0
54.15056,-0.073462,-2.509845,-9,0,0,0
54.16174,-0.073462,-2.509845,-9,0,0,0
54.17287,-0.073462,-2.509845,-9,0,0,0
54.18403,-0.073462,-2.509845,-9,0,0,0
54.19704,-0.073462,-2.493521,-9,0,0,0
54.20673,-0.073462,-2.411896,-9,0,0,0
54.2191,-0.122436,-2.199673,-9,0,0,0
54.22888,-0.187736,-1.971125,-9,0,0,0
54.24156,-0.383634,-1.514029,-9,0,0,0
54.25116,-0.563208,-1.154882,-9,0,0,0
54.26394,-0.840731,-0.632486,-9,0,0,0
54.27442,-1.085604,-0.20804,-9,0,0,0
54.2858,-1.297827,0.151107,-9,0,0,0
54.2968,-1.477401,0.510255,-9,0,0,0
54.30683,-1.689624,0.918376,-9,0,0,0
54.31907,-2.065096,1.620345,-9,0,0,0
54.32988,-2.326294,2.191716,-9,0,0,0
54.34091,-2.538517,2.763086,-9,0,0,0
54.35332,-2.71809,3.252832,-9,0,0,0
54.36222,-2.799715,3.497705,-9,0,0,0
54.37545,-2.930313,3.807877,-9,0,0,0
54.38477,-3.011938,3.971126,-9,0,0,0
54.39652,-3.142537,4.183349,-9,0,0,0
54.40767,-3.240486,4.297624,-9,0,0,0
54.41893,-3.289461,4.411898,-9,0,0,0
54.42901,-3.32211,4.477197,-9,0,0,0
54.44004,-3.338435,4.542497,-9,0,0,0
54.45115,-3.338435,4.591471,-9,0,0,0
54.46223,-3.338435,4.62412,-9,0,0,0
54.47503,-3.35476,4.656771,-9,0,0,0
54.4846,-3.371085,4.68942,-9,0,0,0
54.49651,-3.436384,4.75472,-9,0,0,0
54.50809,-3.534334,4.836344,-9,0,0,0
54.51823,-3.681257,4.999593,-9,0,0,0
