time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
57.70614,0.024487,-2.59147,-9,0,0,0
57.71726,0.024487,-2.59147,-9,0,0,0
57.72835,0.024487,-2.59147,-9,0,0,0
57.73946,0.024487,-2.59147,-9,0,0,0
57.75056,0.024487,-2.59147,-9,0,0,0
57.7617,0.024487,-2.59147,-9,0,0,0
57.77315,0.024487,-2.59147,-9,0,0,0
57.78386,0.024487,-2.59147,-9,0,0,0
57.79504,0.024487,-2.59147,-9,0,0,0
57.8064,0.024487,-2.59147,-9,0,0,0
57.81724,0.024487,-2.59147,-9,0,0,0
57.82837,0.024487,-2.59147,-9,0,0,0
57.83948,0.024487,-2.59147,-9,0,0,0
57.85059,0.024487,-2.59147,-9,0,0,0
57.86169,0.024487,-2.59147,-9,0,0,0
57.87285,0.024487,-2.59147,-9,0,0,0
57.88393,0.024487,-2.59147,-9,0,0,0
57.8951,0.024487,-2.59147,-9,0,0,0
57.90616,0.024487,-2.59147,-9,0,0,0
57.91728,0.024487,-2.59147,-9,0,0,0
57.92901,0.024487,-2.59147,-9,0,0,0
57.94029,-0.008163,-2.493521,-9,0,0,0
57.95267,-0.122436,-2.281297,-9,0,0,0
57.96256,-0.236711,-2.036424,-9,0,0,0
57.97486,-0.416284,-1.628303,-9,0,0,0
57.98483,-0.579533,-1.252831,-9,0,0,0
57.99748,-0.824406,-0.74676,-9,0,0,0
58.00839,-1.134578,-0.159065,-9,0,0,0
58.01795,-1.461075,0.395981,-9,0,0,0
58.03061,-2.032446,1.244874,-9,0,0,0
58.04046,-2.440568,1.816243,-9,0,0,0
58.05187,-2.913989,2.485563,-9,0,0,0
58.06299,-3.240486,3.073258,-9,0,0,0
58.07503,-3.534334,3.677279,-9,0,0,0
58.08616,-3.697582,4.0854,-9,0,0,0
58.09734,-3.828181,4.395573,-9,0,0,0
58.10802,-3.893481,4.591471,-9,0,0,0
58.11829,-3.92613,4.738395,-9,0,0,0
