time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
49.52863,0.008162,-2.493521,-9,0,0,0
49.53948,0.008162,-2.493521,-9,0,0,0
49.55068,0.008162,-2.493521,-9,0,0,0
49.56171,0.008162,-2.493521,-9,0,0,0
49.57282,0.008162,-2.493521,-9,0,0,0
49.5839,0.008162,-2.493521,-9,0,0,0
49.59501,0.008162,-2.493521,-9,0,0,0
49.60615,0.008162,-2.493521,-9,0,0,0
49.61728,0.008162,-2.493521,-9,0,0,0
49.62836,0.008162,-2.493521,-9,0,0,0
49.63944,0.008162,-2.493521,-9,0,0,0
49.65062,0.008162,-2.493521,-9,0,0,0
49.66172,0.008162,-2.493521,-9,0,0,0
49.67284,0.008162,-2.493521,-9,0,0,0
49.68433,0.008162,-2.493521,-9,0,0,0
49.69504,0.008162,-2.493521,-9,0,0,0
49.70613,0.008162,-2.493521,-9,0,0,0
49.71725,0.008162,-2.493521,-9,0,0,0
49.72834,0.008162,-2.493521,-9,0,0,0
49.73957,0.008162,-2.493521,-9,0,0,0
49.75135,0.008162,-2.493521,-9,0,0,0
49.76186,0.008162,-2.493521,-9,0,0,0
49.77319,0.008162,-2.493521,-9,0,0,0
49.78427,0.008162,-2.493521,-9,0,0,0
49.79539,0.008162,-2.493521,-9,0,0,0
49.807,-0.024488,-2.460871,-9,0,0,0
49.81807,-0.106112,-2.313947,-9,0,0,0
49.83059,-0.253035,-2.020099,-9,0,0,0
49.84182,-0.465259,-1.644628,-9,0,0,0
49.85151,-0.693807,-1.203856,-9,0,0,0
49.86368,-1.052953,-0.567187,-9,0,0,0
49.87493,-1.477401,0.053158,-9,0,0,0
49.88574,-1.901847,0.640853,-9,0,0,0
49.89597,-2.326294,1.146924,-9,0,0,0
49.90801,-2.78339,1.685645,-9,0,0,0
49.91824,-3.191512,2.159065,-9,0,0,0
49.92913,-3.469034,2.567187,-9,0,0,0
49.94181,-3.713907,3.073258,-9,0,0,0
49.95104,-3.828181,3.399755,-9,0,0,0
49.96365,-3.92613,3.856852,-9,0,0,0
49.97513,-3.975104,4.215999,-9,0,0,0
49.98497,-4.007754,4.444547,-9,0,0,0
49.9971,-4.040404,4.68942,-9,0,0,0
