time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
241.5406,0,2.607748,0,0,270,90.00001
241.8673,0,3.203448,0,0,270,90.00001
242.2006,0,3.811196,0,0,270,90.00001
242.534,0,4.418943,0,0,270,90.00001
242.8673,0,5.026691,0,0,270,90.00001
243.2006,0,5.634439,0,0,270,90.00001
243.534,0,6.242188,0,0,270,90.00001
243.8602,0,6.837048,0,0,270,90.00001
243.8645,0,6.844816,0,0,270,90.00001
243.8768,0,6.867362,0,0,270,90.00001
243.8879,0,6.887566,0,0,270,90.00001
243.8988,0,6.907479,0,0,270,90.00001
243.9093,0,6.926596,0,0,270,90.00001
243.9217,0,6.949065,0,0,270,90.00001
243.9317,0,6.967412,0,0,270,90.00001
243.9427,0,6.987392,0,0,270,90.00001
243.9538,0,7.007589,0,0,270,90.00001
243.9658,0,7.029471,0,0,270,90.00001
243.9766,0,7.049173,0,0,270,90.00001
243.9876,0,7.069242,0,0,270,90.00001
243.9986,0,7.089336,0,0,270,90.00001
244.0095,0,7.109195,0,0,270,90.00001
244.0208,0,7.129825,0,0,270,90.00001
244.0318,0,7.149915,0,0,270,90.00001
244.0429,0,7.170129,0,0,270,90.00001
244.0536,0,7.189677,0,0,270,90.00001
244.0648,0,7.210012,0,0,270,90.00001
244.0758,0,7.230077,0,0,270,90.00001
244.0875,0,7.251513,0,0,270,90.00001
244.0981,0,7.270728,0,0,270,90.00001
244.1101,0,7.292709,0,0,270,90.00001
244.1205,0,7.311542,0,0,270,90.00001
244.1314,0,7.331403,0,0,270,90.00001
244.1424,0,7.351502,0,0,270,90.00001
244.154,0,7.372714,0,0,270,90.00001
244.1647,0,7.392213,0,0,270,90.00001
244.1759,0,7.412618,0,0,270,90.00001
244.1869,0,7.432587,0,0,270,90.00001
244.1986,0,7.454066,0,0,270,90.00001
244.2109,0,7.476395,0,0,270,90.00001
244.2214,0,7.49557,0,0,270,90.00001
244.2325,0,7.515752,0,0,270,90.00001
244.243,0,7.534952,0,0,270,90.00001
244.2547,0,7.55621,0,0,270,90.00001
244.2647,0,7.574586,0,0,270,90.00001
244.277,0,7.5969,0,0,270,90.00001
244.2883,0,7.617575,0,0,270,90.00001
244.2986,0,7.636268,0,0,270,90.00001
244.3101,0,7.657227,0,0,270,90.00001
244.3206,0,7.676527,0,0,270,90.00001
244.3318,0,7.69694,0,0,270,90.00001
244.3431,0,7.717441,0,0,270,90.00001
244.3541,0,7.737454,0,0,270,90.00001
244.3672,0,7.761419,0,0,270,90.00001
244.3764,0,7.778244,0,0,270,90.00001
244.3876,0,7.798667,0,0,270,90.00001
244.3997,0,7.820644,0,0,270,90.00001
244.4113,0,7.841758,0,0,270,90.00001
244.4216,0,7.860495,0,0,270,90.00001
244.4325,0,7.880492,0,0,270,90.00001
244.4444,0,7.902054,0,0,270,90.00001
244.4544,0,7.920367,0,0,270,90.00001
244.4664,0,7.942234,0,0,270,90.00001
244.4773,0,7.962133,0,0,270,90.00001
244.4877,0,7.981106,0,0,270,90.00001
244.499,0,8.001729,0,0,270,90.00001
244.5095,0,8.020844,0,0,270,90.00001
244.5204,0,8.040675,0,0,270,90.00001
244.5313,0,8.060629,0,0,270,90.00001
244.5425,0,8.08109,0,0,270,90.00001
244.5537,0,8.101388,0,0,270,90.00001
244.5647,0,8.121466,0,0,270,90.00001
244.5759,0,8.14185,0,0,270,90.00001
244.5868,0,8.161708,0,0,270,90.00001
244.5988,0,8.183725,0,0,270,90.00001
244.61,0,8.203991,0,0,270,90.00001
244.6208,0,8.223826,0,0,270,90.00001
244.632,0,8.244142,0,0,270,90.00001
244.6429,0,8.264081,0,0,270,90.00001
244.6543,0,8.284875,0,0,270,90.00001
244.6646,0,8.303599,0,0,270,90.00001
244.6757,0,8.323874,0,0,270,90.00001
244.6869,0,8.344325,0,0,270,90.00001
244.698,0,8.364493,0,0,270,90.00001
244.7096,0,8.385687,0,0,270,90.00001
244.7204,0,8.405416,0,0,270,90.00001
244.7312,0,8.425145,0,0,270,90.00001
244.7425,0,8.445587,0,0,270,90.00001
244.7535,0,8.46571,0,0,270,90.00001
244.7656,0,8.487751,0,0,270,90.00001
244.7765,0,8.507663,0,0,270,90.00001
244.7872,0,8.5271,0,0,270,90.00001
244.7979,0,8.546726,0,0,270,90.00001
244.8095,0,8.567872,0,0,270,90.00001
244.8203,0,8.587534,0,0,270,90.00001
244.8315,0,8.607913,0,0,270,90.00001
244.8423,0,8.627707,0,0,270,90.00001
244.8544,0,8.649595,0,0,270,90.00001
244.8663,0,8.671429,0,0,270,90.00001
244.876,0,8.689094,0,0,270,90.00001
244.8869,0,8.708863,0,0,270,90.00001
244.8984,0,8.729912,0,0,270,90.00001
244.9099,0,8.750788,0,0,270,90.00001
244.9212,0,8.771479,0,0,270,90.00001
244.9333,0,8.793448,0,0,270,90.00001
244.9449,0,8.814688,0,0,270,90.00001
244.955,0,8.833136,0,0,270,90.00001
244.9658,0,8.852864,0,0,270,90.00001
244.9766,0,8.872444,0,0,270,90.00001
244.9874,0,8.892236,0,0,270,90.00001
244.9993,0,8.913797,0,0,270,90.00001
245.0096,0,8.932715,0,0,270,90.00001
245.0208,0,8.953145,0,0,270,90.00001
245.0313,0,8.972167,0,0,270,90.00001
245.043,0,8.99348,0,0,270,90.00001
245.0536,0,9.012903,0,0,270,90.00001
245.065,0,9.033676,0,0,270,90.00001
245.0758,0,9.053372,0,0,270,90.00001
245.0872,0,9.074162,0,0,270,90.00001
245.0979,0,9.09373,0,0,270,90.00001
245.1102,0,9.116041,0,0,270,90.00001
245.1205,0,9.13491,0,0,270,90.00001
245.1315,0,9.154865,0,0,270,90.00001
245.1424,0,9.174775,0,0,270,90.00001
245.1541,0,9.196168,0,0,270,90.00001
245.1646,0,9.215328,0,0,270,90.00001
245.1763,0,9.236629,0,0,270,90.00001
245.1872,0,9.25648,0,0,270,90.00001
245.1988,0,9.277624,0,0,270,90.00001
245.2096,0,9.297276,0,0,270,90.00001
245.2204,0,9.317054,0,0,270,90.00001
245.2326,0,9.339152,0,0,270,90.00001
245.2426,0,9.357383,0,0,270,90.00001
245.2536,0,9.377438,0,0,270,90.00001
245.2646,0,9.397655,0,0,270,90.00001
245.2766,0,9.419456,0,0,270,90.00001
245.2875,0,9.439382,0,0,270,90.00001
245.298,0,9.458478,0,0,270,90.00001
245.3091,0,9.478694,0,0,270,90.00001
245.3202,0,9.498917,0,0,270,90.00001
245.3315,0,9.519636,0,0,270,90.00001
245.3428,0,9.540148,0,0,270,90.00001
245.3534,0,9.55956,0,0,270,90.00001
245.3648,0,9.580235,0,0,270,90.00001
245.3765,0,9.601668,0,0,270,90.00001
245.3872,0,9.621148,0,0,270,90.00001
245.399,0,9.64253,0,0,270,90.00001
245.4095,0,9.661854,0,0,270,90.00001
245.4205,0,9.681827,0,0,270,90.00001
245.4314,0,9.701665,0,0,270,90.00001
245.4424,0,9.721766,0,0,270,90.00001
245.4536,0,9.742167,0,0,270,90.00001
245.4651,0,9.7631,0,0,270,90.00001
245.4759,0,9.782842,0,0,270,90.00001
245.4877,0,9.804316,0,0,270,90.00001
245.498,0,9.823125,0,0,270,90.00001
245.5101,0,9.845093,0,0,270,90.00001
