time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
248.5069,0,2.270435,0,0,270,90.00001
248.513,0,2.27539,0,0,270,90.00001
248.5243,0,2.284677,0,0,270,90.00001
248.5359,0,2.294205,0,0,270,90.00001
248.5462,0,2.302621,0,0,270,90.00001
248.5589,0,2.31308,0,0,270,90.00001
248.5692,0,2.321542,0,0,270,90.00001
248.5802,0,2.330524,0,0,270,90.00001
248.5907,0,2.339193,0,0,270,90.00001
248.6019,0,2.348299,0,0,270,90.00001
248.6133,0,2.357661,0,0,270,90.00001
248.6245,0,2.366855,0,0,270,90.00001
248.6353,0,2.375752,0,0,270,90.00001
248.6472,0,2.385491,0,0,270,90.00001
248.6581,0,2.394456,0,0,270,90.00001
248.9914,0,2.667917,0,0,270,90.00001
249.3248,0,2.941379,0,0,270,90.00001
249.6581,0,3.21484,0,0,270,90.00001
249.6626,0,3.21853,0,0,270,90.00001
249.6719,0,3.226128,0,0,270,90.00001
249.6823,0,3.23471,0,0,270,90.00001
249.6937,0,3.244024,0,0,270,90.00001
249.7047,0,3.253089,0,0,270,90.00001
249.7156,0,3.262016,0,0,270,90.00001
249.7269,0,3.271242,0,0,270,90.00001
249.738,0,3.280386,0,0,270,90.00001
249.7489,0,3.289333,0,0,270,90.00001
249.7596,0,3.298087,0,0,270,90.00001
249.7709,0,3.307361,0,0,270,90.00001
249.7827,0,3.317041,0,0,270,90.00001
249.7927,0,3.325272,0,0,270,90.00001
249.805,0,3.335315,0,0,270,90.00001
249.8159,0,3.344285,0,0,270,90.00001
249.8267,0,3.353143,0,0,270,90.00001
249.8379,0,3.36231,0,0,270,90.00001
249.8488,0,3.371262,0,0,270,90.00001
249.8596,0,3.380111,0,0,270,90.00001
249.8708,0,3.38932,0,0,270,90.00001
249.8826,0,3.398977,0,0,270,90.00001
249.8945,0,3.40876,0,0,270,90.00001
249.9049,0,3.417279,0,0,270,90.00001
249.9155,0,3.425987,0,0,270,90.00001
249.9266,0,3.435079,0,0,270,90.00001
249.9375,0,3.444023,0,0,270,90.00001
249.9487,0,3.453206,0,0,270,90.00001
249.9607,0,3.463091,0,0,270,90.00001
249.9708,0,3.471399,0,0,270,90.00001
249.9826,0,3.481066,0,0,270,90.00001
249.9937,0,3.490148,0,0,270,90.00001
250.0063,0,3.50046,0,0,270,90.00001
250.0157,0,3.508202,0,0,270,90.00001
250.0267,0,3.517243,0,0,270,90.00001
250.0373,0,3.525906,0,0,270,90.00001
250.0483,0,3.534972,0,0,270,90.00001
250.0596,0,3.544201,0,0,270,90.00001
250.0707,0,3.5533,0,0,270,90.00001
250.0826,0,3.563049,0,0,270,90.00001
250.0936,0,3.572147,0,0,270,90.00001
250.1049,0,3.581367,0,0,270,90.00001
250.1156,0,3.590195,0,0,270,90.00001
250.1266,0,3.599215,0,0,270,90.00001
250.1384,0,3.608852,0,0,270,90.00001
250.1484,0,3.617093,0,0,270,90.00001
250.1595,0,3.626176,0,0,270,90.00001
250.1707,0,3.635401,0,0,270,90.00001
250.1826,0,3.645149,0,0,270,90.00001
250.1936,0,3.654178,0,0,270,90.00001
250.205,0,3.663477,0,0,270,90.00001
250.2157,0,3.672256,0,0,270,90.00001
250.2267,0,3.681281,0,0,270,90.00001
250.2377,0,3.690372,0,0,270,90.00001
250.2486,0,3.699292,0,0,270,90.00001
250.2597,0,3.708351,0,0,270,90.00001
250.2707,0,3.717424,0,0,270,90.00001
250.2819,0,3.726599,0,0,270,90.00001
250.2928,0,3.735524,0,0,270,90.00001
250.3043,0,3.744985,0,0,270,90.00001
250.3153,0,3.754017,0,0,270,90.00001
250.3267,0,3.763349,0,0,270,90.00001
250.3374,0,3.772149,0,0,270,90.00001
250.349,0,3.781645,0,0,270,90.00001
250.36,0,3.790674,0,0,270,90.00001
250.3712,0,3.799839,0,0,270,90.00001
250.3821,0,3.808768,0,0,270,90.00001
250.3931,0,3.817787,0,0,270,90.00001
250.4039,0,3.826699,0,0,270,90.00001
250.4149,0,3.835737,0,0,270,90.00001
250.4267,0,3.845388,0,0,270,90.00001
250.438,0,3.85468,0,0,270,90.00001
250.4487,0,3.863464,0,0,270,90.00001
250.4596,0,3.872397,0,0,270,90.00001
250.4709,0,3.881628,0,0,270,90.00001
250.4817,0,3.890522,0,0,270,90.00001
250.4933,0,3.900009,0,0,270,90.00001
250.5049,0,3.909524,0,0,270,90.00001
250.5156,0,3.918323,0,0,270,90.00001
250.5266,0,3.927332,0,0,270,90.00001
250.538,0,3.936672,0,0,270,90.00001
250.5487,0,3.945481,0,0,270,90.00001
250.56,0,3.954704,0,0,270,90.00001
250.5708,0,3.963609,0,0,270,90.00001
250.5821,0,3.972885,0,0,270,90.00001
250.593,0,3.981841,0,0,270,90.00001
250.6051,0,3.991745,0,0,270,90.00001
250.6158,0,4.000495,0,0,270,90.00001
250.6262,0,4.009022,0,0,270,90.00001
250.6384,0,4.019035,0,0,270,90.00001
250.649,0,4.027781,0,0,270,90.00001
250.66,0,4.036754,0,0,270,90.00001
250.6713,0,4.046021,0,0,270,90.00001
250.6824,0,4.055178,0,0,270,90.00001
250.6932,0,4.06399,0,0,270,90.00001
250.7043,0,4.073089,0,0,270,90.00001
250.7156,0,4.082415,0,0,270,90.00001
250.7269,0,4.091662,0,0,270,90.00001
250.7377,0,4.100553,0,0,270,90.00001
250.749,0,4.109828,0,0,270,90.00001
250.7594,0,4.118345,0,0,270,90.00001
250.7706,0,4.127487,0,0,270,90.00001
250.7817,0,4.136589,0,0,270,90.00001
250.7928,0,4.145732,0,0,270,90.00001
250.8049,0,4.155658,0,0,270,90.00001
250.8161,0,4.164813,0,0,270,90.00001
250.827,0,4.173761,0,0,270,90.00001
250.8378,0,4.182628,0,0,270,90.00001
250.8486,0,4.191542,0,0,270,90.00001
250.8596,0,4.200523,0,0,270,90.00001
250.8708,0,4.209681,0,0,270,90.00001
250.8817,0,4.218682,0,0,270,90.00001
250.8936,0,4.228377,0,0,270,90.00001
250.9056,0,4.238265,0,0,270,90.00001
250.9155,0,4.246357,0,0,270,90.00001
250.9265,0,4.2554,0,0,270,90.00001
250.9376,0,4.264544,0,0,270,90.00001
250.9486,0,4.273505,0,0,270,90.00001
250.9596,0,4.282581,0,0,270,90.00001
250.971,0,4.291882,0,0,270,90.00001
250.9818,0,4.300743,0,0,270,90.00001
250.9928,0,4.309758,0,0,270,90.00001
251.0047,0,4.319573,0,0,270,90.00001
251.0158,0,4.328664,0,0,270,90.00001
251.0261,0,4.337112,0,0,270,90.00001
251.0375,0,4.346476,0,0,270,90.00001
251.0487,0,4.355652,0,0,270,90.00001
251.0599,0,4.364821,0,0,270,90.00001
251.071,0,4.37395,0,0,270,90.00001
