time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
262.4623,0,2,0,0,270,90.00001
262.4741,0,2.008244,0,0,270,90.00001
262.4845,0,2.015532,0,0,270,90.00001
262.4959,0,2.0235,0,0,270,90.00001
262.5067,0,2.031077,0,0,270,90.00001
262.518,0,2.038989,0,0,270,90.00001
262.5297,0,2.047115,0,0,270,90.00001
262.5406,0,2.054806,0,0,270,90.00001
262.874,0,2.2879,0,0,270,90.00001
263.2073,0,2.520994,0,0,270,90.00001
263.5406,0,2.754089,0,0,270,90.00001
263.874,0,2.987183,0,0,270,90.00001
263.8835,0,2.99387,0,0,270,90.00001
263.8947,0,3.001674,0,0,270,90.00001
263.9055,0,3.009179,0,0,270,90.00001
263.9166,0,3.016996,0,0,270,90.00001
263.9283,0,3.025189,0,0,270,90.00001
263.939,0,3.032642,0,0,270,90.00001
263.95,0,3.040348,0,0,270,90.00001
263.9618,0,3.048611,0,0,270,90.00001
263.9728,0,3.056264,0,0,270,90.00001
263.984,0,3.064085,0,0,270,90.00001
263.9951,0,3.071892,0,0,270,90.00001
264.0067,0,3.08,0,0,270,90.00001
264.0172,0,3.087342,0,0,270,90.00001
264.0283,0,3.095067,0,0,270,90.00001
264.0394,0,3.102879,0,0,270,90.00001
264.0504,0,3.110578,0,0,270,90.00001
264.0614,0,3.118238,0,0,270,90.00001
264.0727,0,3.126156,0,0,270,90.00001
264.0843,0,3.134271,0,0,270,90.00001
264.0952,0,3.141863,0,0,270,90.00001
264.1061,0,3.149527,0,0,270,90.00001
264.1175,0,3.157485,0,0,270,90.00001
264.1286,0,3.16522,0,0,270,90.00001
264.1406,0,3.173584,0,0,270,90.00001
264.1516,0,3.181328,0,0,270,90.00001
264.162,0,3.188587,0,0,270,90.00001
264.1735,0,3.196623,0,0,270,90.00001
264.1846,0,3.204417,0,0,270,90.00001
264.1956,0,3.212044,0,0,270,90.00001
264.2067,0,3.219861,0,0,270,90.00001
264.2183,0,3.227959,0,0,270,90.00001
264.2295,0,3.235763,0,0,270,90.00001
264.2405,0,3.243457,0,0,270,90.00001
264.2515,0,3.251181,0,0,270,90.00001
264.2628,0,3.259043,0,0,270,90.00001
264.2747,0,3.267386,0,0,270,90.00001
264.2856,0,3.275007,0,0,270,90.00001
264.2962,0,3.282421,0,0,270,90.00001
264.3076,0,3.290367,0,0,270,90.00001
264.3187,0,3.298155,0,0,270,90.00001
264.3307,0,3.306533,0,0,270,90.00001
264.3415,0,3.314082,0,0,270,90.00001
264.3524,0,3.321741,0,0,270,90.00001
264.3634,0,3.329428,0,0,270,90.00001
264.3743,0,3.337005,0,0,270,90.00001
264.3863,0,3.34542,0,0,270,90.00001
264.3972,0,3.353041,0,0,270,90.00001
264.4084,0,3.360884,0,0,270,90.00001
264.4197,0,3.368823,0,0,270,90.00001
264.4312,0,3.376854,0,0,270,90.00001
264.4422,0,3.384502,0,0,270,90.00001
264.4531,0,3.392161,0,0,270,90.00001
264.4641,0,3.399856,0,0,270,90.00001
264.4753,0,3.407659,0,0,270,90.00001
264.4874,0,3.416136,0,0,270,90.00001
264.4983,0,3.423735,0,0,270,90.00001
264.51,0,3.43195,0,0,270,90.00001
264.5208,0,3.439495,0,0,270,90.00001
264.5313,0,3.446785,0,0,270,90.00001
264.5428,0,3.454841,0,0,270,90.00001
264.5539,0,3.462642,0,0,270,90.00001
264.565,0,3.470386,0,0,270,90.00001
264.5757,0,3.477837,0,0,270,90.00001
264.5877,0,3.486275,0,0,270,90.00001
264.5986,0,3.493914,0,0,270,90.00001
264.6096,0,3.501625,0,0,270,90.00001
264.6202,0,3.509001,0,0,270,90.00001
264.6313,0,3.516721,0,0,270,90.00001
264.6426,0,3.524653,0,0,270,90.00001
264.6543,0,3.532856,0,0,270,90.00001
264.665,0,3.540351,0,0,270,90.00001
264.6763,0,3.548218,0,0,270,90.00001
264.687,0,3.555717,0,0,270,90.00001
264.6986,0,3.563834,0,0,270,90.00001
264.7094,0,3.571345,0,0,270,90.00001
264.7224,0,3.580451,0,0,270,90.00001
264.7325,0,3.587542,0,0,270,90.00001
264.7438,0,3.595427,0,0,270,90.00001
264.7545,0,3.602934,0,0,270,90.00001
264.7651,0,3.610354,0,0,270,90.00001
264.7762,0,3.618097,0,0,270,90.00001
264.787,0,3.625612,0,0,270,90.00001
264.7982,0,3.633431,0,0,270,90.00001
264.8101,0,3.641772,0,0,270,90.00001
264.8214,0,3.649715,0,0,270,90.00001
264.832,0,3.657096,0,0,270,90.00001
264.8431,0,3.664896,0,0,270,90.00001
264.8538,0,3.672336,0,0,270,90.00001
264.8648,0,3.680069,0,0,270,90.00001
264.877,0,3.688587,0,0,270,90.00001
264.8878,0,3.6961,0,0,270,90.00001
264.8994,0,3.704214,0,0,270,90.00001
264.91,0,3.711645,0,0,270,90.00001
264.9207,0,3.719164,0,0,270,90.00001
264.9318,0,3.726857,0,0,270,90.00001
264.9427,0,3.734478,0,0,270,90.00001
264.9536,0,3.742121,0,0,270,90.00001
264.9662,0,3.750904,0,0,270,90.00001
