time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
234.4041,0,2,0,0,270,90.00001
234.415,0,2.006377,0,0,270,90.00001
234.4266,0,2.013094,0,0,270,90.00001
234.4381,0,2.019802,0,0,270,90.00001
234.7714,0,2.21375,0,0,270,90.00001
235.1048,0,2.407698,0,0,270,90.00001
235.437,0,2.601028,0,0,270,90.00001
235.4417,0,2.603723,0,0,270,90.00001
235.4481,0,2.607447,0,0,270,90.00001
235.4592,0,2.613903,0,0,270,90.00001
235.4701,0,2.620269,0,0,270,90.00001
235.4814,0,2.626842,0,0,270,90.00001
235.4919,0,2.63297,0,0,270,90.00001
235.5033,0,2.639564,0,0,270,90.00001
235.5147,0,2.646207,0,0,270,90.00001
235.5252,0,2.652344,0,0,270,90.00001
235.5362,0,2.658737,0,0,270,90.00001
235.5475,0,2.665286,0,0,270,90.00001
235.5592,0,2.672122,0,0,270,90.00001
235.57,0,2.678376,0,0,270,90.00001
235.5812,0,2.684933,0,0,270,90.00001
235.5923,0,2.691344,0,0,270,90.00001
235.6033,0,2.697792,0,0,270,90.00001
235.6144,0,2.704219,0,0,270,90.00001
235.6257,0,2.710778,0,0,270,90.00001
235.6365,0,2.71711,0,0,270,90.00001
235.6476,0,2.72355,0,0,270,90.00001
235.6584,0,2.729834,0,0,270,90.00001
235.6698,0,2.736467,0,0,270,90.00001
235.6816,0,2.743354,0,0,270,90.00001
235.6918,0,2.749275,0,0,270,90.00001
235.7039,0,2.756311,0,0,270,90.00001
235.7148,0,2.762633,0,0,270,90.00001
235.7259,0,2.769105,0,0,270,90.00001
235.737,0,2.775534,0,0,270,90.00001
235.7476,0,2.781733,0,0,270,90.00001
235.7592,0,2.788493,0,0,270,90.00001
235.7702,0,2.794911,0,0,270,90.00001
235.781,0,2.80115,0,0,270,90.00001
235.7921,0,2.807611,0,0,270,90.00001
235.803,0,2.813951,0,0,270,90.00001
235.814,0,2.820377,0,0,270,90.00001
235.8262,0,2.827437,0,0,270,90.00001
235.8371,0,2.833782,0,0,270,90.00001
